epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,63.3778,0.5628,0.95993,1,0.14053,0.0033243,0.0033243,0.0033243
2,129.837,0.19936,0.96883,1,0.10621,0.00659172,0.00659172,0.00659172
3,192.288,0.17793,0.95993,1,0.13646,0.00979315,0.00979315,0.00979315
4,224.888,0.19489,0.96171,1,0.13757,0.009703,0.009703,0.009703
5,247.467,0.17062,0.97061,1,0.13217,0.009604,0.009604,0.009604
6,269.584,0.12995,0.97685,1,0.08306,0.009505,0.009505,0.009505
7,292.935,0.1113,0.97952,1,0.07496,0.009406,0.009406,0.009406
8,316.415,0.11385,0.97863,1,0.06546,0.009307,0.009307,0.009307
9,339.874,0.09434,0.97507,1,0.11221,0.009208,0.009208,0.009208
10,364.716,0.08344,0.98308,1,0.07384,0.009109,0.009109,0.009109
11,386.664,0.07932,0.98041,1,0.06027,0.00901,0.00901,0.00901
12,410.257,0.07137,0.98664,1,0.06552,0.008911,0.008911,0.008911
13,434.092,0.06537,0.98575,1,0.05601,0.008812,0.008812,0.008812
14,457.826,0.06496,0.98041,1,0.06934,0.008713,0.008713,0.008713
15,481.614,0.0612,0.98308,1,0.06787,0.008614,0.008614,0.008614
16,505.208,0.05604,0.98308,1,0.07148,0.008515,0.008515,0.008515
17,528.77,0.05443,0.98486,1,0.06386,0.008416,0.008416,0.008416
18,552.36,0.0537,0.9813,1,0.0688,0.008317,0.008317,0.008317
19,575.55,0.0527,0.98219,1,0.06607,0.008218,0.008218,0.008218
20,598.661,0.05286,0.98219,1,0.07204,0.008119,0.008119,0.008119
21,621.469,0.04879,0.98397,1,0.06875,0.00802,0.00802,0.00802
22,643.963,0.04848,0.98486,1,0.07765,0.007921,0.007921,0.007921
23,666.29,0.04955,0.98308,1,0.06625,0.007822,0.007822,0.007822
24,688.62,0.04395,0.98308,1,0.07401,0.007723,0.007723,0.007723
25,711.595,0.04217,0.98308,1,0.06664,0.007624,0.007624,0.007624
26,734.286,0.03691,0.9813,1,0.06924,0.007525,0.007525,0.007525
27,757.101,0.04325,0.98575,1,0.08007,0.007426,0.007426,0.007426
28,779.375,0.04534,0.98486,1,0.07523,0.007327,0.007327,0.007327
29,801.564,0.04228,0.98397,1,0.06117,0.007228,0.007228,0.007228
30,826.129,0.04166,0.98219,1,0.07904,0.007129,0.007129,0.007129
31,872.925,0.03685,0.98397,1,0.06427,0.00703,0.00703,0.00703
32,895.931,0.03378,0.98664,1,0.04806,0.006931,0.006931,0.006931
